Country,Code,2014,2015,2016,2017,mean
Afghanistan,AFG,0.021395,0.021395,0.021395,0.08274,0.03673125
Angola,AGO,17.40880013,12.62699986,12.62699986,12.62699986,13.82244992
Albania,ALB,2.563199997,10.56270027,11.72360039,10.64109993,8.872650146
Argentina,ARG,67.87049866,65.20780182,65.18119812,61.44469833,64.92604923
Armenia,ARM,4.036600113,4.876299858,2.265300035,1.784800053,3.240750015
Australia,AUS,72.34420013,74.48049927,76.34279633,72.95700073,74.03112411
Austria,AUT,56.04109955,62.44480133,67.58820343,68.26709747,63.58530045
Burundi,BDI,2.727600098,3.466700077,3.466700077,3.466700077,3.281925082
Belgium,BEL,74.16829681,81.94039917,82.04070282,84.56069946,80.67752457
Benin,BEN,3.550800085,10.91720009,10.63519955,9.915699959,8.75472492
Burkina Faso,BFA,4.650100231,7.724599838,10.53680038,9.31649971,8.057000041
Bangladesh,BGD,19.27619934,19.27619934,23.98509979,35.78620148,24.58092499
Bulgaria,BGR,27.46689987,25.7840004,26.41740036,21.79859924,25.36672497
Belarus,BLR,11.21609974,13.7883997,12.35429955,9.109499931,11.61707473
Bolivia,BOL,31.25209999,38.48490143,38.70709991,40.38940048,37.20837545
Brazil,BRA,67.53790283,64.24970245,63.18769836,69.5667038,66.13550186
Bhutan,BTN,,16.69379997,16.37789917,16.37789917,16.48319944
Botswana,BWA,23.4314003,20.52090073,24.91349983,19.75659943,22.15560007
Central African Republic,CAF,10.83339977,10.83339977,10.83339977,5.207300186,9.426874876
Canada,CAN,79.81430054,84.05259705,84.81400299,86.81020355,83.87277603
Switzerland,CHE,64.72969818,73.06549835,72.90190125,78.20649719,72.22589874
Chile,CHL,52.4836998,65.86579895,63.83840179,62.24169922,61.10739994
China,CHN,13.67910004,13.67910004,13.67910004,13.67910004,13.67910004
Côte d'Ivoire,CIV,4.185500145,2.809700012,3.036299944,9.198800087,4.807575047
Cameroon,CMR,7.558100224,5.218200207,6.710400105,5.037099838,6.130950093
"Congo, Democratic Republic of",COD,11.28530025,10.8895998,8.363300323,10.14970016,10.17197514
"Congo, Republic of",COG,14.88169956,6.464700222,5.873300076,6.775700092,8.498849988
Colombia,COL,49.83420181,53.53110123,57.90380096,44.29230118,51.3903513
Comoros,COM,8.004699707,8.004699707,8.004699707,8.004699707,8.004699707
Costa Rica,CRI,60.81570053,52.42219925,50.29489899,49.19530106,53.18202496
Cyprus,CYP,33.85160065,29.88059998,32.0141983,34.95679855,32.67579937
Czech Republic,CZE,39.36470032,43.23189926,45.92549896,49.10660172,44.40717506
Germany,DEU,61.64080048,70.27100372,75.72769928,76.6371994,71.06917572
Djibouti,DJI,5.293600082,5.293600082,5.293600082,5.293600082,5.293600082
Denmark,DNK,69.83360291,75.83769989,77.39600372,85.87290192,77.23505211
Dominican Republic,DOM,31.73810005,28.01849937,28.11009979,34.72779846,30.64862442
Algeria,DZA,20.57839966,20.57839966,20.57839966,20.57839966,20.57839966
Ecuador,ECU,52.23099899,54.00870132,41.95349884,45.22900009,48.35554981
Spain,ESP,78.58589935,86.98930359,87.37960052,83.47059631,84.10634995
Estonia,EST,26.56640053,29.32360077,26.57449913,25.79030037,27.0637002
Ethiopia,ETH,2.460599899,3.514600039,4.089300156,1.582399964,2.911725014
Finland,FIN,64.72589874,68.27429962,74.42549896,75.19069672,70.65409851
France,FRA,59.39300156,66.33100128,72.80039978,71.85089874,67.59382534
United Kingdom,GBR,76.91359711,76.88009644,82.82700348,75.76190186,78.09564972
Georgia,GEO,4.382500172,5.251900196,6.76240015,5.245900154,5.410675168
Ghana,GHA,3.118700027,7.410600185,8.541999817,7.444300175,6.628900051
Guinea,GIN,6.246500015,9.649600029,4.993199825,3.506200075,6.098874986
Greece,GRC,24.37529945,37.39889908,38.19290161,27.78779984,31.93872499
Guatemala,GTM,28.60740089,29.75830078,29.53240013,27.99880028,28.97422552
