Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Aruba,ABW,31.68346977,30.90319061,33.91582108,35.24048996,35.36231995,37.34572983,38.72563934,37.75569153,16.19582939,16.4054203,15.27176952,15.59920979,,28.70038176
Afghanistan,AFG,,,,,3.81795001,,3.679699898,,,8.475700378,,,,5.324450095
Angola,AGO,2.471879959,2.415829897,,,,,6.247280121,,8.979789734,,8.50481987,9.434920311,,6.342419982
Albania,ALB,23.3133297,26.78652954,30.87639046,32.31219864,33.63087082,44.87462997,50.19837189,61.44662857,68.07823181,70.34586334,66.40289307,61.21379852,56.97500992,47.45664469
Arab World,ARB,21.63207054,22.10074043,22.67111969,23.39337921,24.06395912,24.7170105,24.18180084,25.6219101,27.25610924,28.51078033,30.06242943,30.83473969,31.26608086,25.42050409
Argentina,ARG,63.78538895,66.83309174,66.3530426,68.14273834,70.53369141,73.93920135,77.45681763,78.97563171,79.98751068,82.91648102,85.95886993,89.08190155,,75.33036391
Armenia,ARM,39.54676819,43.11534882,45.92906952,48.48733139,51.33422852,52.98992157,53.33778,46.16593933,45.74592972,47.08768082,46.5246582,51.08018875,52.2424202,47.6120704
Antigua and Barbuda,ATG,,,,,13.43785954,14.89875984,13.34000015,21.98502922,,,,,,15.91541219
Australia,AUS,,,,,,,,,,,119.694519,121.8590088,113.768837,120.7767639
Austria,AUT,,,63.05173874,65.90170288,68.13600159,75.64573669,78.52224731,78.88092804,79.5189209,78.97200012,80.56430817,83.45527649,86.31160736,75.26488609
Azerbaijan,AZE,,19.78945923,19.36459923,19.04788971,19.05771065,19.26004028,19.64731026,20.4384594,21.44042969,23.15973091,25.48320007,25.92642021,27.06740952,21.14684088
Burundi,BDI,2.507250071,2.518970013,2.575649977,2.781369925,2.956589937,3.423599958,3.231580019,3.947340012,4.723010063,5.302269936,,6.003109932,6.164730072,3.633703622
Belgium,BEL,61.08547974,61.65359116,61.19984818,62.08555984,65.26718903,67.82881165,69.8425293,71.19467926,72.11815643,72.99707031,74.5577774,75.89064026,,67.97677771
Benin,BEN,5.914169788,6.810860157,8.137189865,8.047260284,10.23198986,13.77511978,12.85589027,13.95524979,15.96498013,15.95374012,13.55354023,12.94939995,,11.51244919
Burkina Faso,BFA,2.307339907,2.440969944,2.612190008,3.181050062,3.533740044,3.57942009,4.146520138,4.558879852,4.776760101,5.076980114,5.063839912,5.56196022,6.003359795,3.903304199
Bangladesh,BGD,6.212069988,7.094460011,7.649559975,8.58038044,10.48690987,,13.24744034,13.36287022,,13.43811989,,17.33251953,17.61572075,10.82270336
Bulgaria,BGR,45.37208939,47.15607834,50.59920883,51.92298889,54.23974991,57.79623032,59.03247833,61.34677124,64.18283844,67.56694031,70.30455017,71.22879791,,58.39572684
Bahrain,BHR,23.95824051,22.79460907,,,,,43.96572113,43.19187927,39.52856064,41.30907822,43.26131058,46.56666946,45.50218964,38.07200861
Belarus,BLR,67.12397003,69.23927307,71.18048096,70.74504089,73.96173859,79.05056763,85.5693512,91.31568909,92.51174927,90.24002838,88.24401855,87.02462006,86.68179321,80.51721064
Belize,BLZ,16.02960014,17.02986908,18.18922043,19.10354042,22.41080093,21.87334061,21.92108917,24.33218956,24.18479919,24.03284073,23.29099083,24.25737,24.68504906,21.38797092
Bermuda,BMU,,30.01988029,26.17432976,25.92593002,32.11095047,29.8167305,31.16543961,30.80260086,29.56159973,27.45973015,24.30069923,,,28.73378906
Brazil,BRA,25.98962975,,30.78668976,35.56209946,37.03839874,,43.45983124,44.96641159,46.81655121,49.91352844,51.05413055,50.48851013,,41.60757809
Barbados,BRB,,,59.74644852,,75.71624756,69.81111908,65.42533875,,,,,,,67.67478848
Brunei Darussalam,BRN,14.5598402,14.50537968,15.01605988,15.75,16.78253937,15.47321987,17.40615082,22.37252045,24.18486023,31.67284012,30.83864975,31.36663055,32.91501999,20.82739091
Bhutan,BTN,4.800570011,4.998950005,5.351079941,6.338550091,6.108930111,6.81953001,8.457280159,9.100299835,10.51471996,,,,,6.943323347
Botswana,BWA,9.186340332,10.12944984,10.41998959,14.63516998,22.53928947,19.91856956,17.74876022,21.81245995,,25.7087307,28.22039986,23.99570084,23.00962067,18.57407821
Central African Republic,CAF,,1.113510013,,2.292010069,2.484270096,2.621880054,3.085289955,2.93524003,,,,,,2.42203337
Canada,CAN,,,63.4996109,63.745121,63.11592102,61.76103973,63.60884094,64.16661835,65.60952759,66.0029068,65.28307343,67.04385376,,64.38365135
Central Europe and the Baltics,CEB,56.78223038,59.57194138,62.50606918,65.93299103,67.92581177,68.51315308,67.35678101,65.44891357,63.76839066,62.12939835,60.98209,60.95362091,60.95360947,63.48928261
