Type,Year,Country,Score,Population,Weight,Political Stability %,Incremental Year Agg Score
YEARCNTY,2001,Gambia| The,5,1360074.0,0.00018823624960236202,0.21814058387726334,0
YEARCNTY,2001,Cambodia,5,12405408.0,0.0017169267824450275,0.3243986367681509,0.00094118124801181
YEARCNTY,2001,Dominican Republic,5,8598601.0,0.001190059073305658,0.3706619198252612,0.009525815160236949
YEARCNTY,2001,Lao PDR,5,5409582.0,0.0007486941354635444,0.374890635466247,0.015476110526765239
YEARCNTY,2001,Guinea,5,8417081.0,0.0011649364373109837,0.39215010495408437,0.019219581204082962
YEARCNTY,2001,Georgia,4,4014373.0,0.0005555951499881497,0.4026211077023503,0.02504426339063788
YEARCNTY,2001,Bangladesh,4,130088702.0,0.018004468418717872,0.4091063733411626,0.027266643990590478
YEARCNTY,2001,Tajikistan,4,6318513.0,0.000874491527801994,0.4476543863236067,0.09928451766546197
YEARCNTY,2001,Cameroon,3,15928910.0,0.002204584661315164,0.4566203637456916,0.10278248377666994
YEARCNTY,2001,Chad,3,8678051.0,0.0012010550706050018,0.4569895581838666,0.10939623776061544
YEARCNTY,2001,Indonesia,3,214427417.0,0.029677071091721303,0.46337310561291656,0.11299940297243044
YEARCNTY,2001,Armenia,3,3050687.0,0.0004222195848098566,0.4651455622588045,0.20203061624759436
YEARCNTY,2001,Turkey,3,64192243.0,0.008884301204113508,0.49997347310342916,0.20329727500202394
YEARCNTY,2001,Mali,3,11271600.0,0.001560006081299976,0.5007476093064747,0.22995017861436445
YEARCNTY,2001,Macao SAR| China,3,437938.0,6.061126576815615e-05,0.5149820510898758,0.2346301968582644
YEARCNTY,2001,Uruguay,3,3325473.0,0.0004602503729017065,0.5275909325912457,0.23481203065556885
YEARCNTY,2001,Mauritania,3,2702400.0,0.00037401614980171895,0.5348503344331054,0.23619278177427397
YEARCNTY,2001,Lebanon,3,3991001.0,0.0005523604306819161,0.5352233012022357,0.23731483022367914
YEARCNTY,2001,Niger,3,11751365.0,0.00162640626562118,0.5400773480625808,0.2389719115157249
YEARCNTY,2001,Burundi,3,6525545.0,0.0009031450622623809,0.5469826447901001,0.24385113031258843
YEARCNTY,2001,Philippines,2,79672873.0,0.011026843251591669,0.5700963902009545,0.24656056549937558
YEARCNTY,2001,Peru,2,26799285.0,0.0037090606102497627,0.5720742143405497,0.2686142520025589
YEARCNTY,2001,Trinidad and Tobago,2,1271632.0,0.00017599574622730147,0.5773803121940421,0.2760323732230584
YEARCNTY,2001,Russian Federation,2,145976083.0,0.020203305405119953,0.5850522453713907,0.27638436471551303
YEARCNTY,2001,Mauritius,2,1196287.0,0.00016556788698854683,0.5970564761106186,0.3167909755257529
