Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Afghanistan,AFG,3.220000029,3.25999999,3.252000093,3.328999996,3.328000069,3.404999971,3.493000031,3.598999977,3.723999977,3.844000101,3.963000059,4.077000141,4.193999767,3.591384631
Angola,AGO,21.6590004,20.85700035,20.32900047,19.63800049,18.12299919,17.35400009,16.50200081,16.61000061,16.68600082,16.64800072,16.62000084,16.7310009,16.75399971,18.03930811
Albania,ALB,40.06999969,41.00699997,41.91899872,32.76699829,34.75699997,36.9469986,34.72800064,32.00699997,37.11800003,40.76499939,42.54100037,43.13100052,43.74000168,38.57669214
Arab World,ARB,57.07826114,58.72139124,57.62523614,59.40749404,59.88663753,60.81048578,61.99597043,63.36189421,62.64177544,62.60171924,63.2743155,67.10111678,66.5201123,61.61741614
United Arab Emirates,ARE,98.73899841,98.8690033,98.97000122,99.05500031,99.00099945,98.95300293,98.91400146,98.875,98.83799744,98.79799652,98.76000214,98.71299744,97.56700134,98.77323092
Argentina,ARG,79.46700287,80.22899628,80.9280014,80.81600189,80.14499664,80.66000366,81.31600189,81.28600311,80.89600372,80.53900146,79.88899994,79.18199921,78.56999969,80.30177014
Armenia,ARM,51.22900009,52.26699829,53.41999817,54.07799911,52.62599945,50.14400101,51.42499924,51.77600098,51.8390007,54.4469986,57.10599899,59.04100037,59.47200012,53.75923039
Australia,AUS,85.69499969,86.40599823,86.76000214,86.61399841,86.92199707,86.72100067,87.05200195,87.33799744,87.78099823,87.44100189,87.43800354,87.41100311,87.56199646,87.01084606
Austria,AUT,89.60600281,89.47499847,88.53700256,88.90599823,88.85700226,88.80000305,89.33200073,89.52600098,89.45899963,89.48899841,89.6230011,89.95899963,90.15699768,89.36353889
Azerbaijan,AZE,25.86599922,27.41900063,28.61899948,29.01399994,28.87100029,28.34600067,28.56800079,28.94599915,29.15699959,28.50799942,27.36800003,27.28800011,27.0510006,28.07853845
Burundi,BDI,2.802000046,2.802000046,2.806999922,2.805999994,2.825000048,2.826999903,2.838999987,2.855999947,2.868999958,2.882999897,2.885999918,2.892999887,2.898999929,2.845692268
Belgium,BEL,87.73999786,88.19200134,88.46199799,89.23699951,88.72200012,89.21299744,89.52600098,89.51499939,89.29799652,89.14600372,88.92900085,89.3730011,89.33999634,88.97638409
Benin,BEN,3.878000021,3.917000055,3.963000059,4.006000042,4.053999901,4.09800005,4.585000038,4.619999886,4.678999901,4.744999886,4.80700016,4.852000237,4.914000034,4.393692328
Burkina Faso,BFA,3.502000093,3.530999899,4.025000095,4.539000034,5.139999866,5.816999912,6.59800005,7.367000103,8.17800045,9.104999542,9.190999985,9.355999947,9.491000175,6.603076935
Bangladesh,BGD,22.18199921,22.77799988,21.07600021,19.45499992,17.88500023,16.56100082,17.97900009,19.47200012,21.02899933,23.38599968,25.73500061,28.08699989,31.16600037,22.06084618
Bulgaria,BGR,88.94499969,89.96800232,90.6269989,90.20999908,90.20700073,89.91300201,90.59799957,91.19400024,90.93499756,90.67099762,91.18499756,91.07299805,90.96499634,90.4993069
Bahrain,BHR,98.27500153,98.27300262,98.33100128,98.29699707,98.23600006,96.77200317,96.75099945,96.77500153,96.8219986,96.85199738,96.85500336,96.86299896,96.86599731,97.38215402
"Bahamas, The",BHS,88.68499756,89.35299683,90.06700134,90.59999847,92.59400177,92.13200378,91.71499634,91.64099884,91.61000061,91.57299805,91.61299896,91.5530014,91.51799774,91.12723013
Bosnia and Herzegovina,BIH,73.21299744,73.46800232,73.71600342,72.63999939,70.53299713,72.18000031,74.51200104,72.46199799,75.28900146,77.73799896,76.94599915,76.06400299,75.2480011,74.15453867
Belarus,BLR,97.76999664,97.76300049,97.76699829,97.78600311,97.77500153,97.76499939,97.77500153,97.78700256,97.78800201,97.78800201,97.78099823,97.77300262,97.16600037,97.72953914
Belize,BLZ,74.07499695,73.50099945,72.81600189,72.16100311,71.41500092,70.69400024,70.02899933,69.15200043,68.35800171,67.55999756,66.73600006,66.09600067,66.3219986,69.91653853
