Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Afghanistan,AFG,11.18299961,11.31200027,11.51900005,11.64299965,11.90200043,12.06900024,12.25699997,12.53800011,12.65200043,12.79699993,12.92599964,13.02999973,13.1590004,12.22976927
Angola,AGO,48.30099869,47.2159996,46.47499847,45.36899948,42.82799911,41.35300064,39.59799957,39.84600067,40.01399994,39.9980011,39.97999954,40.18500137,40.25699997,42.41692294
Albania,ALB,40.8769989,41.4070015,41.89300156,44.95999908,47.07400131,47.81200027,42.00099945,40.73899841,43.0019989,42.14300156,39.91400146,40.43000031,40.97900009,42.55623099
Arab World,ARB,64.19041206,65.68595563,65.55719076,66.67637892,67.10241406,68.06718142,68.06763884,68.74590188,69.05040881,69.2245289,69.7514186,70.80750132,70.63215324,67.96608342
United Arab Emirates,ARE,96.69499969,96.43199921,95.9980011,95.41500092,95.52200317,95.69100189,95.90200043,96.09700012,96.29299927,96.47200012,96.65200043,96.79199982,96.35900116,96.1784621
Argentina,ARG,71.56700134,72.54100037,73.27600098,73.30599976,73.07900238,73.60900116,73.91899872,74.10600281,73.4509964,73.52200317,72.98699951,72.3730011,71.90200043,73.04907755
Armenia,ARM,59.0019989,59.87400055,60.75699997,61.36899948,60.43600082,62.22000122,59.15800095,60.65999985,61.82099915,57.05899811,57.2840004,57.20399857,57.56399918,59.56984593
Australia,AUS,76.04100037,76.69100189,77.58999634,77.89199829,77.49199677,77.47100067,78.22699738,79.08000183,79.30899811,79.02400208,79.14900208,79.14099884,79.2559967,78.18176856
Austria,AUT,84.94100189,84.86599731,84.47000122,84.40399933,84.22200012,83.94200134,84.47299957,84.66400146,84.47899628,84.26799774,84.69100189,84.90599823,85.38300323,84.59299997
Azerbaijan,AZE,32.27799988,34.17300034,35.55799866,35.93199921,35.72600174,35.27299881,34.66699982,37.41500092,37.54499817,37.25500107,36.68999863,36.04999924,35.89500046,35.7274613
